BSE Code,Company Name
503806,SRF Ltd
503811,Siyaram Silk Mills Ltd
503816,Swadeshi Polytex Ltd
503837,Shree Rajasthan Syntex Ltd
503863,Shree Manufacturing Company Ltd
503893,Satyam Silk Mills Ltd
503960,Bharat Bijlee Ltd
504000,Elpro International Ltd
504028,GEE Ltd
504036,Hind Rectifiers Ltd
504058,Indo National Ltd
504067,Zensar Technologies Ltd
504076,Jyoti Ltd
504080,JSL Industries Ltd
504084,Kaycee Industries Ltd
504092,Indokem Ltd
504093,Panasonic Energy India Company Ltd
504112,Nelco Ltd
504132,Permanent Magnets Ltd
504176,High Energy Batteries India Ltd
504180,Standard Batteries Ltd
504212,Universal Cables Ltd
504220,W. S. Industries (India) Ltd
504240,Delton Cables Ltd
504258,Lakshmi Electrical Control Systems Ltd
504273,Modulex Construction Technologies Ltd
504286,Delta Manufacturing Ltd
504340,Longspur International Ventures Ltd
504341,Ravindra Energy Ltd
504346,RRP Semiconductor Ltd
504351,Empower India Ltd
504356,Multipurpose Trading & Agencies Ltd
504365,Ridhi Synthetics Ltd
504369,Grandma Trading & Agencies Ltd
504370,Ardi Investments & Trading Company Ltd
504375,Softbpo Global Services Ltd
504378,Nyssa Corporation Ltd
504380,Flomic Global Logistics Ltd
504392,Krishna Ventures Ltd
504605,Uni Abex Alloy Products Ltd
504614,Sarda Energy & Minerals Ltd
504646,Bhagwati Autocast Ltd
504648,Bombay Wire Ropes Ltd
504731,Azad India Mobility Ltd
504741,Indian Hume Pipe Company Ltd
504746,Indian Link Chain Manufacturers Ltd
504786,Investment & Precision Castings Ltd
504810,Informed Technologies India Ltd
504840,Kaira Can Company Ltd
504879,Orient Ceratech Ltd
504882,National Standard (India) Ltd
504903,Rathi Steel & Power Ltd
504908,Duncan Engineering Ltd
504918,Sandur Manganese & Iron Ores Ltd
504959,Stovec Industries Ltd
504973,Cholamandalam Financial Holdings Ltd
504988,Welcast Steels Ltd
504998,Western Ministil Ltd
505010,Automotive Axles Ltd
505029,Atlas Cycles (Haryana) Ltd
505032,Automobile Products of India Ltd
505036,Automobile Corporation of Goa Ltd
505075,Setco Automotive Ltd
505100,India Radiators Ltd
505160,Talbros Automotive Components Ltd
505163,ZF Steering Gear India Ltd
505192,SML Isuzu Ltd
505196,TIL Ltd
505200,Eicher Motors Ltd
505212,Jainex Aamcol Ltd
505216,Alfred Herbert India Ltd
505232,Veljan Denison Ltd
505242,Dynamatic Technologies Ltd
505250,G. G. Dandekar Properties Ltd
505255,GMM Pfaudler Ltd
505283,Kirloskar Pneumatic Company Ltd
505285,Tulive Developers Ltd
505299,KPT Industries Ltd
505302,Lakshmi Engineering And Warehousing Ltd
505324,Manugraph India Ltd
505336,Harshil Agrotech Ltd
505343,Monotype India Ltd
505355,NESCO Ltd
505358,Integra Engineering India Ltd
505368,Semac Construction Ltd
505400,Texmaco Infrastructure & Holdings Ltd
505412,Wendt (India) Ltd
505502,PS IT Infrastructure & Services Ltd
505504,GHV Infra Projects Ltd
505509,Responsive Industries Ltd
505515,Shyamkamal Investments Ltd
505520,Hem Holdings & Trading Ltd
505523,Maharashtra Corporation Ltd
505526,Dolat Algotech Ltd
505533,Westlife Foodworld Ltd
505537,Zee Entertainment Enterprises Ltd
505585,Kovalam Investment & Trading Company Ltd
505590,SVP Global Textiles Ltd
505594,Multiplus Holdings Ltd
505650,Skyline Millars Ltd
505681,Bimetal Bearings Ltd
505685,Taparia Tools Ltd
505688,Bharat Gears Ltd
505690,Brady & Morris Engineering Company Ltd
505693,La Tim Metal & Industries Ltd
505700,Elecon Engineering Company Ltd
505710,Grauer & Weil India Ltd
505712,Him Teknoforge Ltd
505714,Gabriel India Ltd
505720,Hercules Hoists Ltd
